lead_id,created_at,channel,agency_size,lead_score,setter_id,closer_id
L-10774,2025-05-26 00:00:00,Meta,6-15 agents,4,Setter C,Closer C
L-10775,2025-03-28 00:00:00,Google Search,Solo,8,Setter B,Closer D
L-10776,2025-06-11 00:00:00,Referral,Solo,9,Setter B,Closer D
L-10777,2025-04-14 00:00:00,Referral,Solo,9,Setter B,Closer C
L-10778,2025-06-21 00:00:00,TikTok,Solo,4,Setter A,Closer A
L-10779,2025-04-28 00:00:00,TikTok,16+ agents,4,Setter A,Closer A
L-10780,2025-05-02 00:00:00,Meta,16+ agents,6,Setter B,Closer C
L-10781,2025-02-09 00:00:00,Meta,6-15 agents,7,Setter B,Closer C
L-10782,2025-04-25 00:00:00,Meta,2-5 agents,8,Setter C,Closer D
L-10783,2025-03-21 00:00:00,Google Search,Solo,5,Setter B,Closer D
L-10784,2025-05-10 00:00:00,Meta,16+ agents,8,Setter C,Closer B
L-10785,2025-03-08 00:00:00,Google Search,Solo,5,Setter B,Closer C
L-10786,2025-03-08 00:00:00,Google Search,2-5 agents,5,Setter C,Closer B
L-10787,2025-05-04 00:00:00,TikTok,6-15 agents,2,Setter B,Closer C
L-10788,2025-06-03 00:00:00,Google Search,16+ agents,3,Setter A,Closer D
L-10789,2025-05-03 00:00:00,Meta,Solo,5,Setter C,Closer B
L-10790,2025-05-18 00:00:00,Google Search,2-5 agents,4,Setter A,Closer B
L-10791,2025-04-14 00:00:00,Meta,6-15 agents,7,Setter C,Closer C
L-10792,2025-06-15 00:00:00,Cold Outreach,2-5 agents,3,Setter C,Closer C
L-10793,2025-06-05 00:00:00,Meta,16+ agents,7,Setter A,Closer A
L-10794,2025-05-21 00:00:00,Referral,Solo,8,Setter B,Closer C
L-10795,2025-05-02 00:00:00,Meta,Solo,3,Setter A,Closer C
L-10796,2025-05-17 00:00:00,Google Search,16+ agents,6,Setter A,Closer A
L-10797,2025-01-21 00:00:00,LinkedIn,2-5 agents,8,Setter A,Closer A
L-10798,2025-06-19 00:00:00,LinkedIn,Solo,9,Setter B,Closer B
L-10799,2025-06-09 00:00:00,Meta,16+ agents,7,Setter B,Closer D
L-10800,2025-02-21 00:00:00,Google Search,Solo,4,Setter C,Closer D
L-10801,2025-05-18 00:00:00,Meta,Solo,4,Setter B,Closer C
L-10802,2025-05-02 00:00:00,Google Search,6-15 agents,7,Setter A,Closer C
L-10803,2025-03-06 00:00:00,LinkedIn,16+ agents,9,Setter B,Closer A
L-10804,2025-04-20 00:00:00,LinkedIn,2-5 agents,9,Setter A,Closer A
L-10805,2025-06-13 00:00:00,Meta,6-15 agents,8,Setter A,Closer B
L-10806,2025-06-11 00:00:00,Google Search,Solo,6,Setter A,Closer A
L-10807,2025-06-09 00:00:00,Google Search,2-5 agents,6,Setter B,Closer B
L-10808,2025-06-22 00:00:00,Google Search,16+ agents,5,Setter A,Closer B
L-10809,2025-05-15 00:00:00,Meta,16+ agents,6,Setter C,Closer D
L-10810,2025-05-26 00:00:00,TikTok,16+ agents,5,Setter B,Closer C
L-10811,2025-04-10 00:00:00,TikTok,16+ agents,3,Setter B,Closer C
L-10812,2025-02-06 00:00:00,Meta,6-15 agents,5,Setter C,Closer B
L-10813,2025-04-20 00:00:00,Google Search,2-5 agents,6,Setter B,Closer D
L-10814,2025-06-22 00:00:00,Google Search,2-5 agents,7,Setter A,Closer C
L-10815,2025-03-18 00:00:00,Google Search,16+ agents,6,Setter C,Closer A
L-10816,2025-06-01 00:00:00,LinkedIn,Solo,9,Setter B,Closer C
L-10817,2025-03-28 00:00:00,Google Search,16+ agents,6,Setter C,Closer A
L-10818,2025-04-07 00:00:00,Google Search,6-15 agents,8,Setter C,Closer A
L-10819,2025-02-20 00:00:00,TikTok,Solo,1,Setter A,Closer A
L-10820,2025-04-23 00:00:00,Google Search,2-5 agents,8,Setter C,Closer B
L-10821,2025-06-26 00:00:00,Google Search,Solo,7,Setter A,Closer D
L-10822,2025-04-04 00:00:00,Meta,2-5 agents,7,Setter C,Closer B
L-10823,2025-02-12 00:00:00,Meta,6-15 agents,4,Setter B,Closer C
L-10824,2025-05-07 00:00:00,LinkedIn,6-15 agents,9,Setter C,Closer C
L-10825,2025-03-06 00:00:00,Cold Outreach,2-5 agents,7,Setter B,Closer A
L-10826,2025-01-12 00:00:00,LinkedIn,16+ agents,7,Setter B,Closer C
L-10827,2025-05-26 00:00:00,Meta,Solo,6,Setter B,Closer B
L-10828,2025-04-14 00:00:00,TikTok,2-5 agents,1,Setter A,Closer B
L-10829,2025-05-27 00:00:00,LinkedIn,16+ agents,7,Setter C,Closer D
L-10830,2025-04-15 00:00:00,TikTok,2-5 agents,5,Setter C,Closer B
L-10831,2025-05-27 00:00:00,Google Search,Solo,7,Setter C,Closer B
L-10832,2025-06-19 00:00:00,Meta,2-5 agents,3,Setter A,Closer D
L-10833,2025-03-28 00:00:00,Cold Outreach,2-5 agents,7,Setter B,Closer A
L-10834,2025-03-31 00:00:00,Meta,Solo,4,Setter B,Closer C
L-10835,2025-05-28 00:00:00,Google Search,6-15 agents,5,Setter B,Closer B
L-10836,2025-05-23 00:00:00,Referral,6-15 agents,8,Setter C,Closer B
L-10837,2025-06-18 00:00:00,Meta,6-15 agents,8,Setter A,Closer B
L-10838,2025-05-03 00:00:00,Cold Outreach,Solo,4,Setter A,Closer A
L-10839,2025-05-07 00:00:00,Meta,6-15 agents,3,Setter A,Closer A
L-10840,2025-05-20 00:00:00,LinkedIn,16+ agents,8,Setter B,Closer D
L-10841,2025-04-01 00:00:00,Meta,2-5 agents,4,Setter C,Closer C
L-10842,2025-03-10 00:00:00,Meta,6-15 agents,4,Setter C,Closer D
L-10843,2025-05-07 00:00:00,Meta,Solo,3,Setter B,Closer D
L-10844,2025-06-22 00:00:00,LinkedIn,16+ agents,8,Setter A,Closer D
L-10845,2025-06-24 00:00:00,LinkedIn,6-15 agents,9,Setter B,Closer B
L-10846,2025-06-11 00:00:00,LinkedIn,6-15 agents,9,Setter B,Closer C
L-10847,2025-06-01 00:00:00,LinkedIn,2-5 agents,10,Setter A,Closer C
L-10848,2025-02-26 00:00:00,Meta,16+ agents,4,Setter A,Closer D
L-10849,2025-04-07 00:00:00,Google Search,16+ agents,3,Setter C,Closer B
L-10850,2025-02-12 00:00:00,Google Search,6-15 agents,8,Setter A,Closer A
L-10851,2025-03-27 00:00:00,Google Search,16+ agents,3,Setter A,Closer B
L-10852,2025-04-01 00:00:00,Google Search,Solo,4,Setter C,Closer A
L-10853,2025-06-09 00:00:00,Cold Outreach,6-15 agents,7,Setter B,Closer D
L-10854,2025-06-29 00:00:00,Meta,16+ agents,3,Setter C,Closer A
L-10855,2025-06-06 00:00:00,LinkedIn,16+ agents,10,Setter A,Closer A
L-10856,2025-06-29 00:00:00,Meta,6-15 agents,4,Setter B,Closer D
L-10857,2025-06-16 00:00:00,Meta,16+ agents,5,Setter B,Closer B
L-10858,2025-06-19 00:00:00,Referral,16+ agents,9,Setter B,Closer B
L-10859,2025-06-08 00:00:00,Cold Outreach,Solo,3,Setter B,Closer C
L-10860,2025-01-14 00:00:00,Google Search,6-15 agents,5,Setter B,Closer B
L-10861,2025-05-06 00:00:00,Google Search,2-5 agents,8,Setter A,Closer C
L-10862,2025-04-13 00:00:00,Meta,Solo,6,Setter B,Closer A
L-10863,2025-06-05 00:00:00,Google Search,6-15 agents,4,Setter C,Closer A
L-10864,2025-06-12 00:00:00,Google Search,Solo,3,Setter B,Closer A
L-10865,2025-05-12 00:00:00,Google Search,16+ agents,8,Setter A,Closer B
L-10866,2025-03-04 00:00:00,Cold Outreach,6-15 agents,6,Setter C,Closer C
L-10867,2025-05-01 00:00:00,TikTok,Solo,3,Setter B,Closer C
L-10868,2025-01-31 00:00:00,Google Search,2-5 agents,5,Setter A,Closer C
L-10869,2025-03-25 00:00:00,Google Search,Solo,6,Setter B,Closer B
L-10870,2025-06-03 00:00:00,Google Search,16+ agents,6,Setter B,Closer B
L-10871,2025-03-29 00:00:00,Meta,2-5 agents,3,Setter B,Closer B
L-10872,2025-05-05 00:00:00,Google Search,2-5 agents,5,Setter A,Closer A
L-10873,2025-04-02 00:00:00,Meta,Solo,8,Setter B,Closer A
L-10874,2025-03-24 00:00:00,TikTok,6-15 agents,2,Setter C,Closer C
L-10875,2025-01-16 00:00:00,Cold Outreach,2-5 agents,5,Setter C,Closer B
L-10876,2025-06-11 00:00:00,Google Search,2-5 agents,3,Setter A,Closer D
L-10877,2025-05-27 00:00:00,Google Search,2-5 agents,6,Setter B,Closer C
L-10878,2025-04-02 00:00:00,Meta,2-5 agents,8,Setter B,Closer C
L-10879,2025-02-04 00:00:00,Cold Outreach,Solo,6,Setter B,Closer A
L-10880,2025-05-15 00:00:00,Google Search,Solo,6,Setter B,Closer C
L-10881,2025-05-06 00:00:00,Meta,16+ agents,6,Setter C,Closer D
L-10882,2025-04-03 00:00:00,Cold Outreach,2-5 agents,4,Setter A,Closer D
L-10883,2025-02-18 00:00:00,TikTok,16+ agents,1,Setter C,Closer A
L-10884,2025-05-04 00:00:00,Meta,6-15 agents,7,Setter A,Closer A
L-10885,2025-05-15 00:00:00,TikTok,6-15 agents,2,Setter C,Closer D
L-10886,2025-02-20 00:00:00,Google Search,6-15 agents,4,Setter B,Closer B
L-10887,2025-06-04 00:00:00,LinkedIn,2-5 agents,7,Setter A,Closer D
L-10888,2025-05-30 00:00:00,Meta,Solo,3,Setter A,Closer C
L-10889,2025-06-07 00:00:00,Meta,6-15 agents,6,Setter B,Closer A
L-10890,2025-06-29 00:00:00,Meta,6-15 agents,7,Setter C,Closer A
L-10891,2025-05-03 00:00:00,Google Search,Solo,4,Setter B,Closer B
L-10892,2025-06-03 00:00:00,Meta,Solo,3,Setter C,Closer A
L-10893,2025-02-11 00:00:00,Cold Outreach,2-5 agents,8,Setter C,Closer B
L-10894,2025-02-20 00:00:00,Google Search,16+ agents,8,Setter C,Closer A
L-10895,2025-05-18 00:00:00,TikTok,2-5 agents,2,Setter C,Closer B
L-10896,2025-05-29 00:00:00,Meta,16+ agents,3,Setter C,Closer D
L-10897,2025-03-07 00:00:00,Google Search,Solo,5,Setter C,Closer C
L-10898,2025-03-12 00:00:00,Google Search,6-15 agents,8,Setter A,Closer D
L-10899,2025-03-30 00:00:00,Referral,Solo,9,Setter C,Closer D
L-10900,2025-04-22 00:00:00,TikTok,6-15 agents,4,Setter C,Closer D
L-10901,2025-06-07 00:00:00,Cold Outreach,6-15 agents,8,Setter C,Closer C
L-10902,2025-03-09 00:00:00,Meta,6-15 agents,8,Setter C,Closer D
L-10903,2025-02-21 00:00:00,TikTok,2-5 agents,4,Setter B,Closer B
L-10904,2025-06-11 00:00:00,Meta,Solo,8,Setter C,Closer A
L-10905,2025-06-03 00:00:00,Meta,2-5 agents,4,Setter C,Closer D
L-10906,2025-02-14 00:00:00,TikTok,2-5 agents,2,Setter C,Closer D
L-10907,2025-06-13 00:00:00,Google Search,Solo,5,Setter B,Closer C
L-10908,2025-06-17 00:00:00,Google Search,Solo,7,Setter C,Closer A
L-10909,2025-04-29 00:00:00,LinkedIn,16+ agents,9,Setter C,Closer C
L-10910,2025-04-10 00:00:00,Referral,2-5 agents,10,Setter C,Closer C
L-10911,2025-03-18 00:00:00,Referral,2-5 agents,8,Setter A,Closer D
L-10912,2025-06-28 00:00:00,Google Search,16+ agents,3,Setter C,Closer A
L-10913,2025-06-03 00:00:00,Referral,16+ agents,9,Setter A,Closer D
L-10914,2025-05-02 00:00:00,Cold Outreach,Solo,8,Setter C,Closer B
L-10915,2025-01-23 00:00:00,TikTok,Solo,2,Setter C,Closer A
L-10916,2025-06-13 00:00:00,Meta,6-15 agents,5,Setter A,Closer C
L-10917,2025-05-29 00:00:00,Meta,2-5 agents,6,Setter A,Closer A
L-10918,2025-06-25 00:00:00,Referral,2-5 agents,10,Setter A,Closer C
L-10919,2025-04-20 00:00:00,TikTok,6-15 agents,3,Setter B,Closer A
L-10920,2025-03-29 00:00:00,Google Search,2-5 agents,6,Setter C,Closer B
L-10921,2025-06-26 00:00:00,Cold Outreach,6-15 agents,8,Setter C,Closer A
L-10922,2025-04-06 00:00:00,TikTok,2-5 agents,1,Setter B,Closer A
L-10923,2025-06-20 00:00:00,Cold Outreach,Solo,6,Setter C,Closer C
L-10924,2025-01-09 00:00:00,LinkedIn,6-15 agents,8,Setter C,Closer A
L-10925,2025-06-15 00:00:00,Google Search,16+ agents,6,Setter B,Closer D
L-10926,2025-05-13 00:00:00,LinkedIn,2-5 agents,8,Setter A,Closer C
L-10927,2025-03-10 00:00:00,Referral,2-5 agents,8,Setter A,Closer B
L-10928,2025-01-08 00:00:00,Referral,2-5 agents,10,Setter A,Closer D
L-10929,2025-05-24 00:00:00,Meta,16+ agents,6,Setter C,Closer B
L-10930,2025-05-16 00:00:00,Meta,6-15 agents,8,Setter C,Closer D
L-10931,2025-06-19 00:00:00,Meta,16+ agents,8,Setter A,Closer A
L-10932,2025-05-06 00:00:00,Meta,2-5 agents,4,Setter A,Closer B
L-10933,2025-06-27 00:00:00,Google Search,6-15 agents,6,Setter A,Closer B
L-10934,2025-06-04 00:00:00,TikTok,Solo,1,Setter C,Closer C
L-10935,2025-03-04 00:00:00,Google Search,6-15 agents,7,Setter B,Closer B
L-10936,2025-05-03 00:00:00,Meta,16+ agents,6,Setter C,Closer B
L-10937,2025-04-30 00:00:00,Meta,6-15 agents,3,Setter A,Closer B
L-10938,2025-03-18 00:00:00,Meta,6-15 agents,4,Setter B,Closer C
L-10939,2025-02-07 00:00:00,Meta,16+ agents,5,Setter C,Closer A
L-10940,2025-05-20 00:00:00,TikTok,6-15 agents,4,Setter C,Closer D
L-10941,2025-01-16 00:00:00,Meta,16+ agents,6,Setter A,Closer C
L-10942,2025-05-06 00:00:00,Meta,2-5 agents,5,Setter C,Closer B
L-10943,2025-05-02 00:00:00,LinkedIn,16+ agents,10,Setter A,Closer C
L-10944,2025-05-30 00:00:00,LinkedIn,Solo,10,Setter B,Closer B
L-10945,2025-06-27 00:00:00,Cold Outreach,Solo,3,Setter C,Closer A
L-10946,2025-03-28 00:00:00,Google Search,16+ agents,3,Setter A,Closer C
L-10947,2025-06-20 00:00:00,Google Search,Solo,8,Setter A,Closer B
L-10948,2025-05-27 00:00:00,Meta,6-15 agents,8,Setter C,Closer D
L-10949,2025-04-07 00:00:00,Google Search,Solo,6,Setter A,Closer D
L-10950,2025-05-09 00:00:00,LinkedIn,2-5 agents,9,Setter B,Closer B
L-10951,2025-02-09 00:00:00,TikTok,2-5 agents,2,Setter A,Closer D
L-10952,2025-04-06 00:00:00,Google Search,6-15 agents,7,Setter B,Closer A
L-10953,2025-06-29 00:00:00,LinkedIn,2-5 agents,7,Setter C,Closer B
L-10954,2025-06-20 00:00:00,Referral,16+ agents,9,Setter C,Closer B
L-10955,2025-02-24 00:00:00,Meta,16+ agents,5,Setter C,Closer D
L-10956,2025-03-19 00:00:00,Meta,Solo,6,Setter A,Closer A
L-10957,2025-05-18 00:00:00,Meta,6-15 agents,3,Setter C,Closer D
L-10958,2025-03-28 00:00:00,Meta,Solo,6,Setter C,Closer B
L-10959,2025-05-25 00:00:00,Meta,16+ agents,8,Setter A,Closer A
L-10960,2025-04-06 00:00:00,TikTok,16+ agents,5,Setter B,Closer A
L-10961,2025-03-10 00:00:00,TikTok,6-15 agents,4,Setter B,Closer C
L-10962,2025-04-05 00:00:00,Cold Outreach,16+ agents,5,Setter A,Closer D
L-10963,2025-05-11 00:00:00,Meta,Solo,6,Setter A,Closer B
L-10964,2025-02-16 00:00:00,Google Search,Solo,5,Setter B,Closer D
L-10965,2025-02-16 00:00:00,Meta,Solo,4,Setter A,Closer B
L-10966,2025-03-12 00:00:00,Google Search,Solo,5,Setter B,Closer D
L-10967,2025-01-23 00:00:00,Meta,16+ agents,7,Setter C,Closer C
L-10968,2025-05-26 00:00:00,Meta,2-5 agents,8,Setter B,Closer D
L-10969,2025-06-01 00:00:00,Meta,Solo,6,Setter C,Closer C
L-10970,2025-06-07 00:00:00,Google Search,Solo,6,Setter B,Closer A
L-10971,2025-05-08 00:00:00,Meta,Solo,4,Setter B,Closer A
L-10972,2025-06-29 00:00:00,LinkedIn,Solo,8,Setter A,Closer D
L-10973,2025-03-15 00:00:00,Google Search,2-5 agents,3,Setter B,Closer C
L-10974,2025-04-27 00:00:00,Meta,16+ agents,7,Setter C,Closer D
L-10975,2025-06-02 00:00:00,Google Search,6-15 agents,3,Setter C,Closer C
L-10976,2025-03-31 00:00:00,Meta,Solo,3,Setter B,Closer D
L-10977,2025-03-29 00:00:00,TikTok,6-15 agents,5,Setter B,Closer C
L-10978,2025-04-11 00:00:00,Meta,16+ agents,8,Setter B,Closer D
L-10979,2025-05-26 00:00:00,LinkedIn,6-15 agents,9,Setter C,Closer A
L-10980,2025-03-05 00:00:00,LinkedIn,2-5 agents,10,Setter C,Closer C
L-10981,2025-05-27 00:00:00,LinkedIn,2-5 agents,8,Setter B,Closer C
L-10982,2025-04-22 00:00:00,Cold Outreach,16+ agents,8,Setter A,Closer D
L-10983,2025-06-02 00:00:00,Meta,6-15 agents,5,Setter B,Closer D
L-10984,2025-03-07 00:00:00,Meta,2-5 agents,3,Setter B,Closer C
L-10985,2025-04-11 00:00:00,LinkedIn,Solo,9,Setter A,Closer B
L-10986,2025-04-22 00:00:00,LinkedIn,2-5 agents,9,Setter B,Closer D
L-10987,2025-04-30 00:00:00,Meta,16+ agents,3,Setter A,Closer C
L-10988,2025-02-01 00:00:00,Meta,6-15 agents,3,Setter A,Closer A
L-10989,2025-05-31 00:00:00,Meta,2-5 agents,8,Setter C,Closer A
L-10990,2025-03-08 00:00:00,Google Search,6-15 agents,6,Setter A,Closer C
L-10991,2025-05-17 00:00:00,Cold Outreach,6-15 agents,4,Setter B,Closer B
L-10992,2025-06-05 00:00:00,Referral,Solo,8,Setter B,Closer C
L-10993,2025-04-05 00:00:00,Meta,Solo,6,Setter B,Closer A
L-10994,2025-04-25 00:00:00,Google Search,6-15 agents,5,Setter A,Closer C
L-10995,2025-02-18 00:00:00,TikTok,6-15 agents,5,Setter A,Closer B
L-10996,2025-05-08 00:00:00,Meta,6-15 agents,4,Setter B,Closer D
L-10997,2025-04-25 00:00:00,LinkedIn,2-5 agents,7,Setter B,Closer A
L-10998,2025-05-10 00:00:00,Google Search,Solo,5,Setter B,Closer B
L-10999,2025-06-06 00:00:00,Google Search,16+ agents,7,Setter B,Closer C
L-11000,2025-04-05 00:00:00,Meta,16+ agents,3,Setter A,Closer D
L-11001,2025-05-24 00:00:00,Meta,2-5 agents,6,Setter B,Closer D
L-11002,2025-05-05 00:00:00,Meta,6-15 agents,3,Setter A,Closer D
L-11003,2025-01-27 00:00:00,Google Search,16+ agents,6,Setter A,Closer C
L-11004,2025-06-11 00:00:00,TikTok,16+ agents,5,Setter C,Closer C
L-11005,2025-03-14 00:00:00,Referral,Solo,10,Setter A,Closer B
L-11006,2025-04-25 00:00:00,Meta,16+ agents,7,Setter C,Closer B
L-11007,2025-03-17 00:00:00,Google Search,6-15 agents,7,Setter C,Closer D
L-11008,2025-05-19 00:00:00,Meta,6-15 agents,7,Setter C,Closer A
L-11009,2025-04-24 00:00:00,Cold Outreach,16+ agents,5,Setter B,Closer D
L-11010,2025-06-01 00:00:00,Google Search,2-5 agents,7,Setter A,Closer A
L-11011,2025-04-22 00:00:00,Meta,Solo,6,Setter C,Closer A
L-11012,2025-06-13 00:00:00,Meta,Solo,7,Setter C,Closer C
L-11013,2025-06-03 00:00:00,LinkedIn,2-5 agents,10,Setter A,Closer A
L-11014,2025-03-13 00:00:00,TikTok,16+ agents,2,Setter B,Closer C
L-11015,2025-03-20 00:00:00,Meta,16+ agents,4,Setter B,Closer A
L-11016,2025-01-29 00:00:00,Meta,6-15 agents,7,Setter B,Closer A
L-11017,2025-06-16 00:00:00,LinkedIn,Solo,10,Setter A,Closer D
L-11018,2025-02-23 00:00:00,Meta,6-15 agents,6,Setter C,Closer D
L-11019,2025-05-20 00:00:00,TikTok,16+ agents,2,Setter B,Closer D
L-11020,2025-02-02 00:00:00,Google Search,2-5 agents,8,Setter C,Closer B
L-11021,2025-05-01 00:00:00,Referral,16+ agents,10,Setter A,Closer A
L-11022,2025-02-16 00:00:00,LinkedIn,2-5 agents,8,Setter A,Closer D
L-11023,2025-06-08 00:00:00,TikTok,6-15 agents,3,Setter A,Closer D
L-11024,2025-04-25 00:00:00,Google Search,6-15 agents,4,Setter A,Closer C
L-11025,2025-03-21 00:00:00,Google Search,16+ agents,8,Setter B,Closer A
L-11026,2025-03-30 00:00:00,Meta,Solo,4,Setter B,Closer B
L-11027,2025-06-10 00:00:00,Meta,6-15 agents,5,Setter A,Closer B
L-11028,2025-06-04 00:00:00,Meta,6-15 agents,6,Setter B,Closer B
L-11029,2025-04-13 00:00:00,Meta,Solo,8,Setter B,Closer B
L-11030,2025-05-20 00:00:00,Google Search,6-15 agents,3,Setter A,Closer B
L-11031,2025-05-02 00:00:00,Meta,6-15 agents,4,Setter C,Closer B
L-11032,2025-02-10 00:00:00,TikTok,6-15 agents,3,Setter B,Closer A
L-11033,2025-04-22 00:00:00,Google Search,2-5 agents,8,Setter C,Closer C
L-11034,2025-04-26 00:00:00,Meta,16+ agents,8,Setter A,Closer C
L-11035,2025-04-24 00:00:00,Meta,2-5 agents,8,Setter A,Closer A
L-11036,2025-06-06 00:00:00,Meta,6-15 agents,3,Setter B,Closer D
L-11037,2025-01-27 00:00:00,Cold Outreach,6-15 agents,3,Setter C,Closer D
L-11038,2025-04-08 00:00:00,Meta,2-5 agents,4,Setter A,Closer B
L-11039,2025-04-22 00:00:00,Cold Outreach,16+ agents,7,Setter B,Closer A
L-11040,2025-06-04 00:00:00,TikTok,16+ agents,3,Setter C,Closer A
L-11041,2025-05-08 00:00:00,Meta,16+ agents,5,Setter A,Closer C
L-11042,2025-04-15 00:00:00,Meta,2-5 agents,5,Setter C,Closer C
L-11043,2025-05-12 00:00:00,Cold Outreach,2-5 agents,6,Setter C,Closer B
L-11044,2025-05-11 00:00:00,Google Search,6-15 agents,8,Setter B,Closer A
L-11045,2025-03-18 00:00:00,Google Search,16+ agents,4,Setter A,Closer A
L-11046,2025-02-07 00:00:00,Meta,Solo,5,Setter C,Closer A
L-11047,2025-05-14 00:00:00,Google Search,Solo,6,Setter C,Closer D
L-11048,2025-03-15 00:00:00,TikTok,2-5 agents,2,Setter C,Closer A
L-11049,2025-05-31 00:00:00,LinkedIn,6-15 agents,8,Setter B,Closer C
L-11050,2025-03-08 00:00:00,Meta,16+ agents,5,Setter A,Closer D
L-11051,2025-06-04 00:00:00,Meta,Solo,5,Setter C,Closer B
L-11052,2025-06-04 00:00:00,Meta,Solo,7,Setter B,Closer B
L-11053,2025-04-04 00:00:00,Google Search,6-15 agents,3,Setter B,Closer A
L-11054,2025-05-28 00:00:00,TikTok,2-5 agents,1,Setter C,Closer D
L-11055,2025-06-08 00:00:00,Meta,2-5 agents,3,Setter A,Closer A
L-11056,2025-06-13 00:00:00,Meta,Solo,4,Setter A,Closer C
L-11057,2025-05-21 00:00:00,TikTok,16+ agents,1,Setter B,Closer C
L-11058,2025-06-24 00:00:00,Referral,2-5 agents,9,Setter C,Closer D
L-11059,2025-04-05 00:00:00,Meta,16+ agents,3,Setter A,Closer B
L-11060,2025-04-29 00:00:00,TikTok,2-5 agents,1,Setter C,Closer C
L-11061,2025-06-26 00:00:00,Google Search,16+ agents,4,Setter B,Closer B
L-11062,2025-01-24 00:00:00,Cold Outreach,Solo,7,Setter C,Closer A
L-11063,2025-05-27 00:00:00,Referral,16+ agents,8,Setter B,Closer B
L-11064,2025-03-18 00:00:00,LinkedIn,6-15 agents,10,Setter C,Closer A
L-11065,2025-02-09 00:00:00,LinkedIn,Solo,9,Setter B,Closer A
L-11066,2025-06-15 00:00:00,Meta,Solo,3,Setter B,Closer A
L-11067,2025-05-26 00:00:00,Meta,6-15 agents,7,Setter B,Closer D
L-11068,2025-05-11 00:00:00,Meta,16+ agents,7,Setter B,Closer A
L-11069,2025-04-28 00:00:00,Google Search,6-15 agents,7,Setter A,Closer D
L-11070,2025-02-04 00:00:00,Referral,16+ agents,10,Setter A,Closer A
L-11071,2025-01-12 00:00:00,Google Search,2-5 agents,3,Setter C,Closer C
L-11072,2025-04-01 00:00:00,Google Search,Solo,8,Setter B,Closer A
L-11073,2025-03-20 00:00:00,TikTok,16+ agents,1,Setter A,Closer D
L-11074,2025-04-13 00:00:00,LinkedIn,6-15 agents,7,Setter C,Closer C
L-11075,2025-03-25 00:00:00,Meta,2-5 agents,7,Setter C,Closer C
L-11076,2025-06-05 00:00:00,LinkedIn,2-5 agents,10,Setter A,Closer C
L-11077,2025-02-28 00:00:00,Meta,16+ agents,6,Setter A,Closer C
L-11078,2025-05-13 00:00:00,Cold Outreach,Solo,7,Setter C,Closer A
L-11079,2025-06-09 00:00:00,Meta,16+ agents,4,Setter A,Closer D
L-11080,2025-06-04 00:00:00,TikTok,Solo,2,Setter B,Closer D
L-11081,2025-06-06 00:00:00,Cold Outreach,2-5 agents,6,Setter C,Closer C
L-11082,2025-05-13 00:00:00,Google Search,Solo,6,Setter B,Closer A
L-11083,2025-05-17 00:00:00,Meta,Solo,8,Setter A,Closer C
L-11084,2025-02-24 00:00:00,LinkedIn,6-15 agents,9,Setter B,Closer C
L-11085,2025-04-01 00:00:00,Meta,2-5 agents,7,Setter A,Closer A
L-11086,2025-02-04 00:00:00,Google Search,2-5 agents,8,Setter C,Closer A
L-11087,2025-03-19 00:00:00,LinkedIn,2-5 agents,10,Setter C,Closer A
L-11088,2025-02-11 00:00:00,LinkedIn,Solo,9,Setter A,Closer C
L-11089,2025-05-06 00:00:00,Meta,6-15 agents,4,Setter A,Closer A
L-11090,2025-04-30 00:00:00,Meta,16+ agents,4,Setter C,Closer D
L-11091,2025-04-21 00:00:00,Google Search,16+ agents,6,Setter C,Closer C
L-11092,2025-05-03 00:00:00,Google Search,2-5 agents,6,Setter A,Closer C
L-11093,2025-03-16 00:00:00,TikTok,2-5 agents,4,Setter A,Closer D
L-11094,2025-05-22 00:00:00,LinkedIn,2-5 agents,7,Setter B,Closer D
L-11095,2025-05-20 00:00:00,Google Search,2-5 agents,3,Setter A,Closer A
L-11096,2025-03-27 00:00:00,Google Search,16+ agents,7,Setter C,Closer B
L-11097,2025-06-12 00:00:00,Meta,2-5 agents,5,Setter C,Closer D
L-11098,2025-05-22 00:00:00,Cold Outreach,16+ agents,7,Setter A,Closer B
L-11099,2025-04-20 00:00:00,LinkedIn,Solo,7,Setter C,Closer D
L-11100,2025-05-31 00:00:00,Meta,Solo,5,Setter B,Closer D
L-11101,2025-03-30 00:00:00,Cold Outreach,16+ agents,6,Setter B,Closer D
L-11102,2025-06-17 00:00:00,Meta,2-5 agents,7,Setter B,Closer B
L-11103,2025-06-26 00:00:00,Meta,2-5 agents,6,Setter B,Closer B
L-11104,2025-06-19 00:00:00,Google Search,6-15 agents,3,Setter C,Closer A
L-11105,2025-05-18 00:00:00,Meta,2-5 agents,3,Setter B,Closer D
L-11106,2025-02-11 00:00:00,Google Search,6-15 agents,4,Setter C,Closer B
L-11107,2025-03-20 00:00:00,Meta,6-15 agents,7,Setter C,Closer C
L-11108,2025-06-03 00:00:00,TikTok,Solo,1,Setter B,Closer B
L-11109,2025-06-07 00:00:00,Meta,16+ agents,5,Setter A,Closer B
L-11110,2025-06-23 00:00:00,Google Search,2-5 agents,3,Setter A,Closer C
L-11111,2025-05-04 00:00:00,Referral,Solo,8,Setter A,Closer A
L-11112,2025-03-19 00:00:00,Meta,16+ agents,6,Setter B,Closer D
L-11113,2025-06-17 00:00:00,Meta,2-5 agents,4,Setter C,Closer C
