sale_id,lead_id,sale_date,product_type,setup_fee,monthly_retainer,months_retained,upsell_revenue,csm_id
S-20355,L-12876,2025-04-07,Standard Package,5000,1500,2,0,CSM B
S-20356,L-12896,2025-05-14,Premium Growth,12000,3500,8,0,CSM B
S-20357,L-12899,2025-04-25,Standard Package,5000,1500,3,0,CSM A
S-20358,L-12908,2025-03-21,Premium Growth,12000,3500,7,0,CSM A
S-20359,L-12912,2025-06-02,Standard Package,5000,1500,8,0,CSM A
S-20360,L-12913,2025-05-26,Premium Growth,12000,3500,6,0,CSM A
S-20361,L-12919,2025-05-24,Standard Package,5000,1500,8,0,CSM B
S-20362,L-12940,2025-02-28,Enterprise Suite,30000,8000,9,0,CSM A
S-20363,L-12954,2025-04-13,Premium Growth,12000,3500,2,0,CSM A
S-20364,L-12955,2025-02-10,Enterprise Suite,30000,8000,11,7500,CSM A
S-20365,L-12978,2025-06-29,Standard Package,5000,1500,10,0,CSM A
S-20366,L-12984,2025-02-27,Standard Package,5000,1500,7,0,CSM A
S-20367,L-12993,2025-03-31,Standard Package,5000,1500,6,0,CSM A
